ID_participant_long,transcript_coder1_coder2_coder3,transcript_wav2vec_base,transcript_wav2vec_large,transcript_google,transcript_whisper,transcript_whisper_medium,transcript_nvidia_xxlarge
education_university_60d3740f31606cb50e49f00c,I decided on a college degree in the hopes of making more money and pursuing a career that I enjoyed.,I decided to earn a college degree in the hopes of making money and pursuing a career that I enjoyed,I decided on a college degree in the hopes of making more money and pursuing a career than I enjoyed,I decided on a college degree in the hopes of making more money on pursuing a career that I enjoy,I decided to earn a college degree in the hopes of making more money and pursuing a career that I enjoyed.,I decided to earn a college degree in the hopes of making more money and pursuing a career that I enjoyed.,i decided to earn a college degree in the hopes of making more money and pursuing a career that i enjoyed
education_university_61088f102428b60cde829d29,Because I wanted a job that would require it.,Because I wanted a job that would require him,Because I wanted a job that would require it,because I wanted a job that would require it,Because I wanted a job that would require it.,because I wanted a job that would require it.,because i wanted a job that would require it
education_university_622a24163ab4c46804399b02,I would've never thought of not getting a college degree you pretty much have to have a college degree for everything you do plus I liked learning so I went to college to learn and grow.,I would have never thought of not getting a college degree um you pretty much have to have a college degree for everything you do Pluss I liked learning so I went to college to learn and grow,I would have never thought of not getting a college degree Ah you pretty much have to have a college degree for everything you do plus I liked learning so I went to college to learn and grow,I would have never thought of not getting you a call just agree you pretty much have to have a college degree for everything you do plus I like learning so I went to college to learn and grow,"I would have never thought of not getting a college degree. You pretty much have to have a college degree for everything you do. Plus, I like learning, so I went to college to learn and grow.","I would have never thought of not getting a college degree. You pretty much have to have a college degree for everything you do. Plus I liked learning, so I went to college to learn and grow.",i would have never thought of not getting a college degree um you pretty much have to have a college degree for everything you do plus i liked learning so i went to college to learn and grow
education_university_62c31fe0e178fc305009b718,I didn't feel it necessary at the time nor do I now.,And I Fe necessary at the time nor do I now,I didn't feel it necessary at the time nor do I now,I didn't feel it necessary,"I didn't feel it necessary at the time, nor do I now.","I didn't feel it necessary at the time, nor do I now.",i didn't feel it necessary at the time nor do i now
education_university_62e0c93d54972f434349eda3,I wanted to have a sense of accomplishing something and completing something. So going to school and graduating with a bachelor's degree was very important to me,Um I wanted to have a sense of accomplishing something in completing something so am going to school and graduating with a bachelor's degree was very important to be,I wanted to have a sense of accomplishing something and completing something so a going to school and graduating with a bachelor's degree was very important to me,I wanted to have a sense of accomplishing something and completing something so going to school and graduating with a bachelor's degree was very important to do,I wanted to have a sense of accomplishing something and completing something. So going to school and graduating with a bachelor's degree was very important to me.,"I wanted to have a sense of accomplishing something and completing something. So, going to school and graduating with a bachelor's degree was very important to me.",um i wanted to have a sense of accomplishing something and completing something so um going to school and graduating with a bachelor's degree was very important to me
future_children_5a146646f2e3460001edc10f,"Have a newborn baby coming soon, next year",Have a newborn baby comin soon next year,Have a new born baby coming soon next year,have a newborn baby coming soon next year,Have a newborn baby coming soon next year,Have a newborn baby coming soon. Next year.,have a newborn baby coming soon next year
future_children_5d338bb02381b7001761694e,My wife and I have chosen not to have any more kids because we're already in our fifties and we're too old for that now plus my wife has had her tubes tied and our last kids so we're not having any more kids because of our age.,My wife and I have chosen not to have any more kids because we're already in our fifties and we're too old for that now bless my wife has hat or tubes tied and our last kids so we're not having any more kids because of our age,My wife and I have chosen not to have any more kids because we're already in our fifties and we're too old for that now Pluss my wife has had her tubes tied and our last kids so we're not having any more kids because of our age,my wife and I have chosen not to have any more kids because we're already in our fifties and we're too old for that now plus my wife has had her tubes tied and her last kids so we're not having anymore kids because of our age,"My wife and I have chosen not to have any more kids because we're already in our 50s and we're too old for that now. Plus my wife has had her tubes tied and our last kids, so we're not having any more kids because of our age.","My wife and I have chosen not to have any more kids because we're already in our 50s and we're too old for that now. Plus my wife has had her tubes tied and our last kids, so we're not having any more kids because of our age.",my wife and i have chosen not to have any more kids because we're already in our fifties and we're too old for that now plus my wife has had her tubes tied and our last kids so we're not having any more kids because of our age
future_children_5ef764821269f404a08607d7,This is an easy one to answer. I'm 71. Biologically it would be very difficult to have a child.,This is an easy one to answer I'm seventy one biologically would be very difficult to have a CHIK,This is an easy one to answer I'm seventy one biologically it would be very difficult to have a,this is an easy one to answer I'm 71 biologically would be very difficult to have it,"This is an easy one to answer. I'm 71. Biologically, it would be very difficult to have a child.","This is an easy one to answer. I'm 71. Biologically, it would be very difficult to have a child.",this is an easy one to answer i'm seventy one biologically it would be very difficult to have a child
future_children_5f430d7837655454911d1d12,"Well, considering I'm 65 that's not gonna happen.",Well considering I'm sixty five that's not G to happen,Well considering I'm sixty five that's not going to happen,well considering I'm 65 that's not going to happen,"Well, considering I'm 65, that's not going to happen.","Well, considering I'm 65, that's not going to happen.",well considering i'm sixty five that's not going to happen
future_children_5fe49a4ad8918ba1615e298d,"First of all, I believe three children are enough. Secondly, I´m too old. I´m in my mid-50s and have gone through the changes, they say.",First of owl I Belave three children are enough Secondly I'm too old I I Ma mid Feties and Ive Gound Thoug the change as they say,First of all I believe three children are enough Secondly I'm too old my MI Fitis and I've gone through the change as they say,first of all of Olay three children are enough secondly I'm too old I'm in my mid-fifties and I've gone through the changes they say,"First of all, I believe three children are enough. Secondly, I'm too old. I'm in my mid-fifties and I've gone through the change, as they say.","First of all, I believe three children are enough. Secondly, I'm too old. I'm in my mid-50s and I've gone through the change, as they say.",first of all i believe three children are enough secondly i'm too old i'm in my mid fifties and have gone through the change as they say
future_children_6044dfc230e44b5793804ba6,I thought I already answered this. I'm not planning to have a child because I don't want a child. And I've never wanted a child. And people who don't want children shouldn't have them that's why.,I thought I already answered this I'm not planning to have a child because I don't want a child and I've never wanted a child and people who don't want children shouldn't have them that's why,I thought I already answered this I'm not planning to have a child because I don't want a child and I've never wanted a child and people who don't want children shouldn't have them that's why,I thought I already answered this I'm not planning to have a child because I don't want a child and I've never wanted a child and people who don't want children shouldn't have them that's why,I thought I already answered this. I'm not planning to have a child because I don't want a child. And I've never wanted a child. And people who don't want children shouldn't have them. That's why.,"I thought I already answered this. I'm not planning to have a child because I don't want a child. And I've never wanted a child. And people who don't want children shouldn't have them, that's why.",i thought i already answered this i'm not planning to have a child because i don't want a child and i've never wanted a child and people who don't want children shouldn't have them that's why
future_children_6101e26ce1c8ecd4461cc3e5,I'm not planning to have children the next two years because me and my husband's plan to have children might be in the next five years. We are still very young we are still trying to figure out our financials and our life goals so we want our childbearing to coincide with our goals long-term.,I'm not Playning to have children the next two years because me and my husband's plan to have children might be the next five years we are still very young we are still trying t figure out our financials in our life goals so we want our child bearing to coincide with our goal's long Tern,I am not planning to have children the next two years because me and my husbands Plannd to have children might be in the next five years we are still very young we are still trying to figure out our financials and our life goals so we want our child bearing to coincide with our goal's long term,I'm not planning to have children the next two years because me and my husband's plan to have children might be in the next five years we are still very young we are still trying to figure out our financials and our life goals so we want our childbearing to coincide with our goals long-term,"I'm not planning to have children the next two years because me and my husband's plan to have children might be in the next five years. We are still very young, we are still trying to figure out our financials and our life goals, so we want our childbearing to coincide with our goals long-term.","I'm not planning to have children the next two years because me and my husband's plan to have children might be in the next five years. We are still very young, we are still trying to figure out our financials and our life goals, so we want our childbearing to coincide with our goals long term.",i am not planning to have children the next two years because me and my husband's plan to have children might be in the next five years we are still very young we are trying to figure out our financials and our life goals so we want to coincide with our goals long term
future_children_6101ed07f939f9662014e6a1,Well I would just hope to have the money and have some of my life together that way I'll be able to support my kids.,Well I just hope to have the money am and am have some some my life together that Whale bill to support my kids,Well I just hope to have the money am and am have some some of my life together that way ill Bild to support my kids,well I just talked to how the money and have some of my life together that way I'll be able to support my kids,"Well, I just hope to have the money and have some of my life together. That way I'll be able to support my kids.","Well, I just hope to have the money and have some of my life together. That way I'll be able to support my kids.",well i just hope to have the money um and um have some some of my life together that way i'll be able to support my kids
future_children_6111a8e5c22c39a1c92edb70,Because I already have three kids and I also have a vasectomy so I can´t have any more.,Because already have three kids and I I also have OM of a sect me so I can't have any one,Because I already have three kids and a I also have a of a Sectme so I can't have any more,cuz I already have three kids and I also have a second so I can have anyone,"Because I already have three kids and I also have a vasectomy, so I can't have any more.",because I already have three kids and I also have a vasectomy so I can't have anymore.,because i already have three kids and i also have a busy so i can't have anymore
future_children_615252fe3ac6a44f68bdc779,Because I´m not in a relationship and I never wanna have kids.,Because I'm not in relationship and I never went Apkins,Because I'm not in a relationship and I never want to have kids,because I'm not in a relationship and I never asked you,Because I'm not in a relationship and I never want to have kids.,Because I'm not in a relationship and I never want to have kids.,because i am not in a relationship and never want to have kids
future_children_62cbf51439a76e8fccd8a495,I am past the point in my life where I can't have more children and I wouldn't want them. I'm content with the two that I have and I wouldn't have time to devote to another child the way I do to my family right now and I don't wanna take any attention off of anyone that's in my family now.,I am past the point my life where I can't have more children and I went and want them Im I'm content with the two that I have and I went and have time to devote to another child the way I due to my family ring now and I don't want to take any attention off of any one that's on my family now,I am past the point in my life where I can't have more children and I wouldn't want them a I'm content with the two that I have and I Wontt have time to devote to another child the way I do to my family right now and I don't want to take any attention off of any one that's in my family now,I am past the point in my life where I can't have more children and I didn't want them I'm content with the two that I have and I wouldn't have time to devote to another child the way I do to my family right now and I don't want to take any attention off of anyone that's in my family now,I am past the point in my life where I can't have more children and I wouldn't want them. I'm content with the two that I have and I wouldn't have time to devote to another child the way I do to my family right now. And I don't want to take any attention off of anyone that's in my family now.,I am past the point in my life where I can't have more children and I wouldn't want them. I'm content with the two that I have and I wouldn't have time to devote to another child the way I do to my family right now. I don't want to take any attention off of anyone that's in my family now.,i am past the point in my life where i can't have more children and i wouldn't want them um i'm content with the two that i have and i wouldn't have time to devote to another child the way i do to my family right now and i don't want to take any attention off of anyone that's in my family now
future_children_6337b9604370dd57643b81a0,Because I've always wanted to have kids and have a family,Because I've always wanted to have kids and have a family,Because I've always wanted to have kids and have a family,because I've always wanted to have kids and have a family,Because I've always wanted to have kids and have a family.,Because I've always wanted to have kids and have a family.,because i always wanted to have kids and have a family
future_children_636159dccb8ebae6099ab520,I am about to start psychiatry residency and will probably not have a lot of free time.,I am about to start Sechietry Residency and I will probably knock hat a Vall ot a free time,I am about to start psychiatry Residency and a will probably not have a lot of free time,I am about to start Psychiatry residency and will probably don't have a lot of free time,I am about to start psychiatry residency and will probably not have a lot of free time.,I am about to start psychiatry residency and will probably not have a lot of free time.,i am about to start psychiatristy residency and uh will probably not have a lot of free time
future_children_637e447c16e05f6828930612,I'm not having another child because I am 67 years old and my wife is 66 years old. Be a little difficult.,Non having another child Maccouns Im sixty seven years old an Mawaf I sixty six Yearso me little difficult,I'm not having another child because I am sixty seven years old and my wife is sixty six years old be a little difficult,I'm having another child because I'm 67 years old and my wife is 66 years old be a little difficult,I'm not having another child because I am 67 years old and my wife is 66 years old. It may be a little difficult.,I'm not having another child because I'm 67 years old and my wife is 66 years old. It's a little difficult.,am not having another child because i am sixty ⁇ seven years old and my wife is sixty ⁇ six years old be a little difficult
future_children_6387f4bcdf5c22093c240bf6,I'm not planning to have a kid because I'm 55 years old and about 8 years into menopause. So I will not have one. Yay,Not Playin to have a kid Becauseim fifty five years old an about eight years Inte Menapaws so I will not have one Yea,Not Playin to have a kid because I'm fifty five years old and about eight years in the Minipaus so I will not have one Yea,not playing to have a kid because I'm 55 years old in about eight years in the menopause so I will not have one yet,I'm not planning to have a kid because I'm 55 years old and about 8 years into menopause. So I will not have one. Yay!,I'm not planning to have a kid because I'm 55 years old and about 8 years into menopause. So I will not have one. Yay.,not playing to have a kid because i'm fifty five years old and about eight years into menopause so i will not have one yea
future_children_63b75c4505aa30e817d4f53f,I'm just too old now to have any more children. 63,I'm just too old now to have any more children sixty three,I'm just too old now to have any more children sixty three,I'm just too old now to have any more children 63,I'm just too old now to have any more children. 63!,I'm just too old now to have any more children. 63!,i'm just too old now to have any more children sixty three
life_satisfaction_5bc4ff222c08740001316ed2,I don't make as much money as I would like to.,I don't make as much money as I would like to,I don't make as much money as I would like to,I don't make as much money as I would like to,I don't make as much money as I would like to.,I don't make as much money as I would like to.,i don't make as much money as i would like to
life_satisfaction_60ca846ffad77e5b1fee110a,I have a lot to be thankful for but I'm not where I am. I'm not where I want to be in life right now.,Tell him I have a lot to be thankful for but I'm not Waring in I'm not ware I want to be in Lyfran now,Elem I have a lot to be thankful for but I'm not where I am I'm not where I want to be in life right now,oh my have a lot to be thankful for but I'm not where I am and I'm not where I want to be in life right now,"I have a lot to be thankful for, but I'm not where I am. I'm not where I want to be in life right now.","Um, I have a lot to be thankful for, but I'm not where I am. I'm not where I want to be in life right now.",i have a lot to be thankful for but i'm not where i am not where i want to be in life right now
life_satisfaction_60fe095a27a19c4dc0eb5e0e,Not gonna lie these days life isn't easy. Especially with having 4 kids everything is so expensive. The world just feels like it's going to hell so it just doesn't feel like I'm at peace.,Not UN TA lie these days life isn't easy am especially with having Forkids everything is so expensive am the world just feels like it's going to hell so it just doesn't feel like I'm at peace,Not going to lie these days life isn't easy am especially with having poor kids everything is so expensive a the world just feels like it's going to hell so it just doesn't feel like I'm at peace,black and white these days life is a c especially with having 4 Kids everything is so expensive the world just feels like it's going to hell so it doesn't feel like I'm at peace,"I'm not gonna lie, these days life isn't easy. Especially with having poor kids, everything is so expensive. The world just feels like it's going to hell. So it just doesn't feel like I'm at peace.","I'm not gonna lie, these days life isn't easy. Especially with having four kids, everything is so expensive. The world just feels like it's going to hell. So, it just doesn't feel like I'm at peace.",i'm not going to lie these days life isn't easy um especially with having four kids everything is so expensive um the world just feels like it's going to hell so it just doesn't feel like i'm at peace
life_satisfaction_6150fb8383f88eae3e5c795a,"I'm moderately satisfied because I have a house, a wife, kids I love. Could just use more money sometimes. Other than that everything's good.",I'm moderately satisfied because I've a house a wife kids I love could just use more money sometimes earning that everything's good,I'm moderately satisfied because I have a house a wife kids I love could just use more money sometimes other than that everything's good,I'm moderately satisfied because I have a house wife kids I love could just use more money sometimes other than that everything's good,"I'm moderately satisfied because I have a house, a wife, kids I love. I could just use more money sometimes. Other than that, everything's good.","I'm moderately satisfied because I have a house, a wife, kids I love. Could just use more money sometimes. Other than that, everything's good.",i'm moderately satisfied because i've a house a wife kids i love could just use more money sometimes other than that everything's good
life_satisfaction_62728d9afbb36631896f3bcb,I have a good stable job and so does my girlfriend. Our kids are healthy and our house is paid for. We have plenty of money in the bank so things are good.,Have a good stable job and so does my girl friend our kids are healthy and a our house is paid for we have plenty O money in the Bank so a things are good,Have a good stable job and so does my girl friend our kids are healthy and our house is paid for we have plenty of money in the Bank so things are good,have a good stable job and so does my girlfriend kids are healthy and house is paid for we have plenty of money in the bank so things are good,I have a good stable job and so does my girlfriend. Our kids are healthy and our house is paid for. We have plenty of money in the bank. So things are good.,I have a good stable job and so does my girlfriend. Our kids are healthy and our house is paid for. We have plenty of money in the bank. So things are good.,i have a good stable job and so does my girlfriend our kids are healthy and our house is paid for we have plenty of money in the bank so things are good
life_satisfaction_62914c34e831fee715303be6,Because I do feel things could be better comma I know they could be a whole lot worse,Because I do feel things could be better Camma I know they could be a whole lot worse,Because I do feel things could be better Tomma I know they could be a whole lot worse,"because I do feel things could be better, I know they could be a whole lot worse","Because I do feel things could be better, I know they could be a whole lot worse.","Because I do feel things could be better, I know they could be a whole lot worse.",because i do feel things could be better i know they could be a whole lot worse
life_satisfaction_638618fa9af1295309751c0c,The country is on a better track to become better. I'm retired now and have more time to be able to do things that I can enjoy.,The country is on a better track to become better I I'm retired now and have more time to be able to do things that I can enjoy,The country's on a better track to become better I'm retired now and have more time to be able to do things that I can enjoy,the countries on a better track to become better I'm retired now and have more time to be able to do things that I can enjoy,The country is on a better track to become better. I'm retired now and have more time to be able to do things that I can enjoy.,The country is on a better track to become better. I'm retired now and have more time to be able to do things that I can enjoy.,the country's on a better track to become better i'm retired now and have more time to be able to do things that i can enjoy
life_satisfaction_638827d8177891e7d70519f8,Tough time trying to get myself together and I feel like if I get a job and pass high school I´ll be very satisfied.,Of time trying go myself together Oh I fee like if I get a Jobby and pass high school I'll be very satisfied,Rouh time try O go myself together Oh a Ter like if I get a job Eand pass high school I'll be very satisfied,sometimes I get myself together I feel like if I get a job yet passed high school I'll be very satisfied,"Tough time trying to get myself together. Um, I feel like if I get a job being past high school, I'll be very satisfied.","Tough time trying to get myself together. I feel like if I get a job, we had passed high school, I'll be very satisfied.",tough time trying to get myself together um i feel like if i get a job even past high school i'll be very satisfied
